Policy Ref,Entity,Value,TriFocus,CCY,YOA,Date Of Fact,Source File
R1540A09,623,387.5791,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R1540A09,2623,1652.3109,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0139M08,623,66325.6674,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0139M08,2623,282756.7926,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0139M08,623,1598.9127,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @ 2010
R0139M08,2623,6816.4173,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @ 2010
R0139M08,623,1493.7154,n/a,EUR,2008,01/12/2018,Aon Broker Rebates @ 2010
R0139M08,2623,6367.9446,n/a,EUR,2008,01/12/2018,Aon Broker Rebates @ 2010
R0139M08,623,1298.8647,n/a,CAD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0139M08,2623,5537.2653,n/a,CAD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0404A08,623,-2093.8988,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0404A08,2623,-8926.6212,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0404A08,623,313.2435,n/a,GBP,2008,01/12/2018,Willis Broker Rebates @2010
R0404A08,2623,1335.4065,n/a,GBP,2008,01/12/2018,Willis Broker Rebates @2010
R0404A08,623,6994.2534,n/a,EUR,2008,01/12/2018,Willis Broker Rebates @2010
R0404A08,2623,29817.6066,n/a,EUR,2008,01/12/2018,Willis Broker Rebates @2010
R0440A08,623,57204.8675,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0440A08,2623,243873.3825,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0440A08,623,10.2733,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @ 2010
R0440A08,2623,43.7967,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @ 2010
R0440A08,623,161.6444,n/a,EUR,2008,01/12/2018,Aon Broker Rebates @ 2010
R0440A08,2623,689.1156,n/a,EUR,2008,01/12/2018,Aon Broker Rebates @ 2010
R0440A08,623,89.5983,n/a,CAD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0440A08,2623,381.9717,n/a,CAD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0465A10,623,54113.7651,n/a,USD,2010,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0465A10,2623,230695.5249,n/a,USD,2010,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0491A10,623,37682.2763,n/a,USD,2010,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0491A10,2623,160645.4937,n/a,USD,2010,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0510A08,623,-18069.152,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0510A08,2623,-77031.648,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0510A08,623,3603.483,n/a,GBP,2008,01/12/2018,Willis Broker Rebates @2010
R0510A08,2623,15362.217,n/a,GBP,2008,01/12/2018,Willis Broker Rebates @2010
R0510A08,623,2491.7284,n/a,EUR,2008,01/12/2018,Willis Broker Rebates @2010
R0510A08,2623,10622.6316,n/a,EUR,2008,01/12/2018,Willis Broker Rebates @2010
R0510A08,623,98.7601,n/a,CAD,2008,01/12/2018,Willis Broker Rebates @2010
R0510A08,2623,421.0299,n/a,CAD,2008,01/12/2018,Willis Broker Rebates @2010
R0513A08,623,-3321.2,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0513A08,2623,-14158.8,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0535A10,623,12361.0371,n/a,USD,2010,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0535A10,2623,52697.0529,n/a,USD,2010,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0540A08,623,2186.9684,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0540A08,2623,9323.3916,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0540A08,623,14.2766,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @ 2010
R0540A08,2623,60.8634,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @ 2010
R0540A08,623,22.515,n/a,CAD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0540A08,2623,95.985,n/a,CAD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0587A08,623,3325,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0587A08,2623,14175,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0595A08,623,72770,n/a,USD,2008,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0595A08,2623,310230,n/a,USD,2008,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0596A08,623,225.4635,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0596A08,2623,961.1865,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0596A08,623,941.1023,n/a,GBP,2008,01/12/2018,Willis Broker Rebates @2010
R0596A08,2623,4012.0677,n/a,GBP,2008,01/12/2018,Willis Broker Rebates @2010
R0596A08,623,38.9652,n/a,EUR,2008,01/12/2018,Willis Broker Rebates @2010
R0596A08,2623,166.1148,n/a,EUR,2008,01/12/2018,Willis Broker Rebates @2010
R0604A08,623,-10871.8,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0604A08,2623,-46348.2,n/a,USD,2008,01/12/2018,Willis Broker Rebates @2010
R0629A08,623,-4110.4695,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0629A08,2623,-17523.5805,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0636A08,623,116997.6262,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0636A08,2623,498779.3538,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0636A08,623,90250,n/a,USD,2008,01/12/2018,Benfield Broker Rebates @ 2010
R0636A08,2623,384750,n/a,USD,2008,01/12/2018,Benfield Broker Rebates @ 2010
R0636A08,623,3562.5,n/a,USD,2008,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0636A08,2623,15187.5,n/a,USD,2008,01/12/2018,Guy Carpenter Broker Rebates @ 2010
R0653A08,623,13251.721,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0653A08,2623,56494.179,n/a,USD,2008,01/12/2018,Aon Broker Rebates @ 2010
R0653A08,623,3165.2575,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @ 2010
R0653A08,2623,13493.9925,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @ 2010
