AccountingPeriod,PolicyNumber,yoa,focus_area,TrifocusCode,TrifocusName,Entity,SignedValue,SignedLinePercent,SettlementCCY,OrgininalValue,OriginalCCY,MC_OriginalValue,MC_OrgininalCCY,mop,tot,Multiyear,statscode,Inception,Expiry,AccountKey
202301,T9908Z18APCS,2018,Cat                      ,TRI00004,Cat,623,39335.7600,.5000,USD,8008950,USD,,,T  ,2018-06-30 00:00:00,N,SC ,2018-06-01 00:00:00,2019-05-31 00:00:00,GPE-RP-P
202301,T9860S14APCC,2014,Cat                      ,TRI00004,Cat,623,11343.0086,4.5000,GBP,1140750,PGK,,,T  ,2014-06-30 00:00:00,N,SC ,2014-06-01 00:00:00,2015-05-31 00:00:00,GPE-RP-P
202301,T9861D14APCC,2014,Cat                      ,TRI00004,Cat,623,2984.4486,4.5000,GBP,297516,PGK,,,T  ,2014-06-30 00:00:00,N,SC ,2014-06-01 00:00:00,2015-05-31 00:00:00,GPE-RP-P
202301,T9871J12APCS,2012,Cat                      ,TRI00004,Cat,623,6588.8852,.7500,USD,1206544,CAD,,,T  ,2012-06-30 00:00:00,N,SC ,2012-06-01 00:00:00,2013-05-31 00:00:00,GPE-RP-P
202301,T9871J13APCC,2013,Cat                      ,TRI00004,Cat,623,11385.0750,.7500,CAD,1518010,CAD,,,T  ,2013-06-30 00:00:00,N,SC ,2013-06-01 00:00:00,2014-05-31 00:00:00,GPE-RP-P
202301,T9871J14APCC,2014,Cat                      ,TRI00004,Cat,623,11972.5875,.7500,CAD,1596345,CAD,,,T  ,2014-06-30 00:00:00,N,SC ,2014-06-01 00:00:00,2015-05-31 00:00:00,GPE-RP-P
202301,T9871J15APCC,2015,Cat                      ,TRI00004,Cat,623,24000.0000,.7500,CAD,3200000,CAD,,,T  ,2015-06-30 00:00:00,N,SC ,2015-06-01 00:00:00,2016-05-31 00:00:00,GPE-RP-P
202301,T9871J16APCC,2016,Cat                      ,TRI00004,Cat,623,176035.2720,5.6000,CAD,3143487,CAD,,,T  ,2016-07-06 00:00:00,N,SC ,2016-06-01 00:00:00,2017-05-31 00:00:00,GPE-RP-P
202301,T9872X15APCC,2015,Cat                      ,TRI00004,Cat,623,29520.0000,1.2000,CAD,2460000,CAD,,,T  ,2015-06-30 00:00:00,N,SC ,2015-06-01 00:00:00,2016-05-31 00:00:00,GPE-RP-P
202301,T9839L12APCC,2012,Cat                      ,TRI00004,Cat,623,18000.0000,3.0000,USD,600000,USD,,,T  ,2012-04-30 00:00:00,N,SC ,2012-04-01 00:00:00,2013-03-31 00:00:00,GPE-RP-P
202301,T9841L12APCC,2012,Cat                      ,TRI00004,Cat,623,24388.9800,3.0000,USD,812966,USD,,,T  ,2012-04-30 00:00:00,N,SC ,2012-04-01 00:00:00,2013-03-31 00:00:00,GPE-RP-P
202301,T9845E18APCR,2018,Ex Cat                   ,TRI00012,Ex Cat,623,16327.4250,7.5000,USD,217699,USD,,,T  ,2018-08-31 00:00:00,N,SC ,2018-06-01 00:00:00,2019-07-21 00:00:00,GPE-RP-P
